name,image,mag_gfpgan,mag_gpen,mag_sgpn,mag_xqlfw
AJ_Lamas,1,19.769841023051683,18.7349951601797,20.205000550910107,14.743495835888584
Aaron_Eckhart,1,21.040805463959707,21.808392737244997,21.20781940038509,14.966679166753032
Aaron_Peirsol,1,19.92932381666351,22.969285173043765,19.807802119802187,16.05818157976045
Aaron_Peirsol,2,21.8076345319312,21.06786545342311,23.6723619423498,23.21774606087824
Aaron_Peirsol,3,23.18068106454233,25.09026939584454,24.8729962126336,25.834166820926026
Aaron_Peirsol,4,19.8029559513561,22.01161747531621,19.336666804907328,12.8694749804526
Aaron_Pena,1,12.10971174108019,13.427989321846448,16.35147026904291,16.402259210775966
Aaron_Sorkin,1,16.23405151198169,16.31177675236478,22.05220807758255,14.48248444083512
Aaron_Sorkin,2,21.3806933830718,23.93201062588412,23.683229483673284,23.761912973059527
Aaron_Tippin,1,18.47630352451668,20.027022281423985,18.09767859156727,13.81854041870276
Abba_Eban,1,17.946570140452682,19.35270786738395,21.168806506334985,20.50237009040381
Abdel_Madi_Shabneh,1,10.514790161195323,18.11164012824253,12.32308632828368,12.43648912425706
Abdel_Nasser_Assidi,1,21.74674181917118,21.664418806903964,18.60095544425097,15.13147153322253
Abdel_Nasser_Assidi,2,19.522850015786737,25.213790598595825,26.03325052024944,25.883714762317723
Abdoulaye_Wade,1,18.13216587493329,13.488355753386909,20.011401387243374,15.148393014286
Abdoulaye_Wade,2,20.23383916835335,13.125600443927103,21.338650144950567,21.69318501540252
Abdoulaye_Wade,4,19.643310744368907,20.423768498065428,22.557059966378752,23.40271746199876
Abdul_Rahman,1,20.04132223679718,23.164551435084523,24.08160493378973,17.16319832422649
Abdulaziz_Kamilov,1,18.024185492459065,16.69279561664455,14.524388949183912,14.5161092627909
Abdullah,2,21.79430017765672,25.31417111481932,23.410265630816657,24.97475406307855
Abdullah,3,24.351843026792075,21.35849847383356,20.5813629831505,17.93562951032982
Abdullah,4,17.66548755695202,19.04877724885389,23.35764592517434,22.414810828981
