name,image,ada_gfpgan,ada_gpen,ada_sgpn,mag_gfpgan,mag_gpen,mag_sgpn,arc_gfpgan,arc_gpen,arc_sgpn
AJ_Lamas,1,0.5159926162005674,0.4280848127404954,0.3217025618594401,0.4623215463503073,0.4444857657747351,0.4159710242801085,0.6632510161377425,0.6602128968562735,0.6846056478282154
Aaron_Eckhart,1,0.7068123636476406,0.7538223186096359,0.270166588257091,0.719758598189878,0.7916896365077352,0.3075808927556954,0.7961600825710594,0.7449003585852098,0.2789627407032797
Aaron_Peirsol,1,0.6219860041452511,0.568087900641302,0.2203519162543962,0.5546380691391269,0.5942790207187935,0.1621085150915556,0.7190892098064073,0.5918832515770154,0.3093817415476976
Aaron_Peirsol,3,0.7912372308395901,0.8371054698316007,0.9243215561460876,0.7687719115524797,0.9323409449211628,0.9094146335978552,0.8690676403122768,0.7299749923533796,0.8827072500352571
Aaron_Peirsol,4,0.7714447266585154,0.7378926113644656,0.1269533480215422,0.7068677410935481,0.7797965270402403,0.200690572103397,0.8220551407132766,0.7623410271258237,0.2767916240043639
Aaron_Sorkin,1,0.2594750865979823,0.1844860329570239,0.300105982140898,0.1995985100288976,0.1599934211780432,0.3153352724727022,0.4238946033386103,0.314972443226914,0.5227241596204649
Aaron_Sorkin,2,0.7586401115892569,0.8553311343764699,0.9001562506408239,0.7832952254817146,0.937650112377403,0.8859747506865364,0.7930593474588359,0.8136565366555845,0.91102795503555
Aaron_Tippin,1,0.3243124721678307,0.2233628474277152,0.116192956595563,0.3334504396408929,0.3724855975012687,0.1966605046665868,0.4747666131278029,0.4181579063938074,0.3518578996670614
Abdel_Madi_Shabneh,1,0.1072414609384731,0.1222550008511745,0.0064056667450743,0.1123816144843384,0.1548750855391788,0.0248424634647618,0.1808448833678614,0.1792024666494059,0.0288067203509941
Abdel_Nasser_Assidi,1,0.6782803606406,0.5709632104979334,0.1105696024626216,0.6177785674308,0.653725254038032,0.2431332523999779,0.7847592772536549,0.6912283776649288,0.3836946364593969
Abdel_Nasser_Assidi,2,0.8652294830793604,0.7973657966859568,0.9346133605088892,0.756727193597338,0.945701197459934,0.945939036616878,0.8552203860426068,0.7888922607558975,0.9665510343420244
Abdoulaye_Wade,1,0.2233750721485585,0.0542911932423572,0.2469245289508563,0.291392276933718,0.2549919121090016,0.3746952543846322,0.3219106025366736,0.0709889797619056,0.4139215770323858
